rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,command
9.83704614639,,1,,1636909005,610265016,'',"""4"""
11.7052557468,,2,,1636909007,478379964,'',"""1"""
13.8737285137,,3,,1636909009,646724939,'',"""2"""
15.757889986,,4,,1636909011,531095027,'',"""2"""
17.72580266,,5,,1636909013,498999118,'',"""3"""
19.8275117874,,6,,1636909015,600727081,'',"""4"""
22.0290119648,,7,,1636909017,802241086,'',"""1"""
24.6644332409,,8,,1636909020,437613010,'',"""3"""
26.565849781,,9,,1636909022,339000940,'',"""1"""
29.0006523132,,10,,1636909024,773888111,'',"""3"""
30.9532799721,,11,,1636909026,726268053,'',"""2"""
34.2898664474,,12,,1636909030,63133001,'',"""4"""
47.649586916,,13,,1636909043,422758102,'',"""1"""
49.4338083267,,14,,1636909045,206933975,'',"""2"""
52.7367415428,,15,,1636909048,509898900,'',"""2"""
55.1048252583,,16,,1636909050,878027915,'',"""4"""
56.7565178871,,17,,1636909052,529709100,'',"""1"""
58.2409331799,,18,,1636909054,13998031,'',"""2"""
59.9582264423,,19,,1636909055,731383085,'',"""3"""
63.0985922813,,20,,1636909058,871787071,'',"""1"""
65.7292518616,,21,,1636909061,502480983,'',"""4"""
68.4144954681,,22,,1636909064,187721014,'',"""3"""
71.6839830875,,23,,1636909067,457216024,'',"""4"""
73.1846046448,,24,,1636909068,957824945,'',"""3"""
83.9268121719,,25,,1636909079,699939012,'',"""4"""
85.4609282017,,26,,1636909081,234045982,'',"""3"""
87.2455646992,,27,,1636909083,18807888,'',"""4"""
88.9806237221,,28,,1636909084,753844022,'',"""1"""
90.6817817688,,29,,1636909086,454956054,'',"""4"""
92.3830680847,,30,,1636909088,156214952,'',"""3"""
94.7013483047,,31,,1636909090,474534034,'',"""2"""
99.287879467,,32,,1636909095,61089038,'',"""3"""
102.941624641,,33,,1636909098,714806079,'',"""2"""
104.34231472,,34,,1636909100,115515947,'',"""1"""
105.760454178,,35,,1636909101,533616065,'',"""1"""
109.296542645,,36,,1636909105,69637060,'',"""2"""
119.15363574,,37,,1636909114,926810026,'',"""1"""
120.888891459,,38,,1636909116,662137031,'',"""1"""
123.140175819,,39,,1636909118,913440942,'',"""3"""
125.008363247,,40,,1636909120,781510114,'',"""4"""
126.709403515,,41,,1636909122,482530117,'',"""1"""
130.012104273,,42,,1636909125,785322904,'',"""3"""
131.713100433,,43,,1636909127,486329078,'',"""3"""
133.297758579,,44,,1636909129,70950031,'',"""2"""
136.417175055,,45,,1636909132,190386056,'',"""2"""
138.38553071,,46,,1636909134,158683061,'',"""2"""
141.387114048,,47,,1636909137,160345077,'',"""4"""
143.789162159,,48,,1636909139,562361955,'',"""4"""
154.530907393,,49,,1636909150,304136037,'',"""4"""
156.415882826,,50,,1636909152,189095973,'',"""3"""
158.434188843,,51,,1636909154,207353115,'',"""2"""
160.018297195,,52,,1636909155,791508913,'',"""1"""
162.370262146,,53,,1636909158,143512010,'',"""4"""
164.171709299,,54,,1636909159,944964885,'',"""2"""
166.62458086,,55,,1636909162,397819995,'',"""1"""
168.19119215,,56,,1636909163,964386940,'',"""3"""
169.95958519,,57,,1636909165,732716083,'',"""1"""
173.211293221,,58,,1636909168,984497070,'',"""4"""
174.729303122,,59,,1636909170,502547979,'',"""3"""
176.331260681,,60,,1636909172,104471921,'',"""2"""
187.905524492,,61,,1636909183,678724050,'',"""4"""
189.694664001,,62,,1636909185,467749118,'',"""2"""
191.359318256,,63,,1636909187,132467985,'',"""3"""
194.061757326,,64,,1636909189,834995985,'',"""1"""
198.047807693,,65,,1636909193,820983886,'',"""2"""
200.516013384,,66,,1636909196,289233922,'',"""3"""
203.668150902,,67,,1636909199,441401958,'',"""4"""
205.236753702,,68,,1636909201,9905099,'',"""1"""
206.920843363,,69,,1636909202,694088935,'',"""4"""
209.122418165,,70,,1636909204,895729064,'',"""3"""
210.606784821,,71,,1636909206,380017042,'',"""1"""
214.593471527,,72,,1636909210,366677045,'',"""2"""
