rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,command
0.0,,2,,1636485666,886120080,'',"""s"""
10.2040531635,,3,,1636485677,90244054,'',"""52"""
12.721902132,,4,,1636485679,608212947,'',"""50"""
14.3237309456,,5,,1636485681,209979057,'',"""49"""
15.7910044193,,6,,1636485682,677196979,'',"""49"""
18.2262341976,,7,,1636485685,112503051,'',"""52"""
21.7283129692,,8,,1636485688,614506959,'',"""51"""
23.7136409283,,9,,1636485690,599872112,'',"""49"""
26.2332692146,,10,,1636485693,119594097,'',"""50"""
28.7009012699,,11,,1636485695,587246894,'',"""51"""
30.0844829082,,12,,1636485696,970823049,'',"""51"""
32.1361782551,,13,,1636485699,22475957,'',"""52"""
34.7551579475,,14,,1636485701,641429901,'',"""51"""
37.8149290085,,15,,1636485704,701208114,'',"""65363"""
38.3160812855,,16,,1636485705,202316999,'',"""65363"""
38.9488584995,,17,,1636485705,835088968,'',"""65363"""
39.4666604996,,18,,1636485706,352921962,'',"""65363"""
46.8653895855,,19,,1636485713,751631975,'',"""50"""
48.7997729778,,20,,1636485715,686089992,'',"""51"""
50.8686523438,,21,,1636485717,754962921,'',"""52"""
52.4878406525,,22,,1636485719,374100923,'',"""50"""
53.9044549465,,23,,1636485720,790750026,'',"""49"""
58.8742775917,,24,,1636485725,760561943,'',"""50"""
60.5583562851,,25,,1636485727,444675922,'',"""49"""
63.4098770618,,26,,1636485730,296205997,'',"""51"""
65.2622902393,,27,,1636485732,148469924,'',"""52"""
68.380913496,,28,,1636485735,267200946,'',"""49"""
69.832382679,,29,,1636485736,718600988,'',"""51"""
71.2828931808,,30,,1636485738,169111013,'',"""50"""
78.1459817886,,31,,1636485745,32180070,'',"""32"""
80.231304884,,32,,1636485747,117494106,'',"""32"""
80.7151982784,,33,,1636485747,601403951,'',"""65293"""
