rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,command
10.2041330338,,1,,1636485677,90339899,'',"""4"""
12.7219216824,,2,,1636485679,608287096,'',"""2"""
14.3237087727,,3,,1636485681,210050106,'',"""1"""
15.7909970284,,4,,1636485682,677268981,'',"""1"""
18.226234436,,5,,1636485685,112576961,'',"""4"""
21.7283127308,,6,,1636485688,614582061,'',"""3"""
23.7136406898,,7,,1636485690,599944114,'',"""1"""
26.2333693504,,8,,1636485693,119688987,'',"""2"""
28.7009634972,,9,,1636485695,587347984,'',"""3"""
30.084543705,,10,,1636485696,970921039,'',"""3"""
32.13636446,,11,,1636485699,22582054,'',"""4"""
34.7551579475,,12,,1636485701,641514062,'',"""3"""
46.8653895855,,13,,1636485713,751703977,'',"""2"""
48.7997963428,,14,,1636485715,686165094,'',"""3"""
50.8686523438,,15,,1636485717,755053043,'',"""4"""
52.4878406525,,16,,1636485719,374181985,'',"""2"""
53.9045312405,,17,,1636485720,790846109,'',"""1"""
58.8742823601,,18,,1636485725,760637044,'',"""2"""
60.5583629608,,19,,1636485727,444746971,'',"""1"""
63.4099164009,,20,,1636485730,296279907,'',"""3"""
65.2623033524,,21,,1636485732,148569107,'',"""4"""
68.3809261322,,22,,1636485735,267271041,'',"""1"""
69.8323771954,,23,,1636485736,718672990,'',"""3"""
71.2828850746,,24,,1636485738,169183015,'',"""2"""
