rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,command
4.20899486542,,1,,1636658002,868765115,'',"""Hard Sip"""
8.22087574005,,2,,1636658006,882406949,'',''
9.22342967987,,3,,1636658007,884583950,'',"""Soft Sip"""
13.2388017178,,4,,1636658011,900238037,'',''
14.2417902946,,5,,1636658012,902715921,'',"""Soft Puff"""
18.2497899532,,6,,1636658016,910847902,'',''
19.253967762,,7,,1636658017,913758993,'',"""Hard Puff"""
23.2605764866,,8,,1636658021,922147989,'',''
24.2622768879,,9,,1636658022,924082040,'',"""Hard Sip"""
28.2770936489,,10,,1636658026,937870025,'',''
29.2825295925,,11,,1636658027,941176891,'',"""Hard Puff"""
33.2914130688,,12,,1636658031,953202009,'',''
34.2970347404,,13,,1636658032,956020116,'',"""Soft Puff"""
38.3083000183,,14,,1636658036,969235897,'',''
39.3103830814,,15,,1636658037,972177028,'',"""Soft Sip"""
43.3233027458,,16,,1636658041,984348058,'',''
44.3289961815,,17,,1636658042,987431049,'',"""Hard Puff"""
48.342830658,,18,,1636658047,3633022,'',''
49.3453330994,,19,,1636658048,6922006,'',"""Soft Puff"""
53.3624894619,,20,,1636658052,23278951,'',''
54.368108511,,21,,1636658053,26581048,'',"""Hard Sip"""
58.3815355301,,22,,1636658057,42134046,'',''
59.3843765259,,23,,1636658058,45682907,'',"""Soft Sip"""
63.3977634907,,24,,1636658062,59519052,'',''
64.4016673565,,25,,1636658063,62513113,'',"""Hard Puff"""
68.4101724625,,26,,1636658067,71130990,'',''
69.4138097763,,27,,1636658068,74126005,'',"""Soft Sip"""
73.4222233295,,28,,1636658072,83995103,'',''
74.4251818657,,29,,1636658073,86992979,'',"""Hard Sip"""
78.4384176731,,30,,1636658077,99421977,'',''
79.4428756237,,31,,1636658078,102368116,'',"""Soft Puff"""
83.4532809258,,32,,1636658082,114451885,'',''
84.4572196007,,33,,1636658083,117723941,'',"""Soft Puff"""
88.4717693329,,34,,1636658087,132217884,'',''
89.4773116112,,35,,1636658088,135958909,'',"""Hard Puff"""
93.4910252094,,36,,1636658092,151997089,'',''
94.4956684113,,37,,1636658093,155073881,'',"""Hard Sip"""
98.506444931,,38,,1636658097,168179035,'',''
99.5114388466,,39,,1636658098,171334981,'',"""Soft Sip"""
103.524920225,,40,,1636658102,185745000,'',''
